Year,Date,SPX,AAPL,Up or Down,Compared
2019,29-Jan,-5.26,-14.87,Up,-9.61
2018,1-Nov,-2.22,20.52,Down,22.74
2018,31-Jul,1.1,4.7,Up,3.6
2018,1-May,-4.86,-8.46,Up,-3.6
2018,1-Feb,-0.58,5.27,Down,5.85
2017,2-Nov,13.43,5.53,Up,-7.9
2017,1-Aug,8.91,1.72,Up,-7.19
2017,2-May,5.15,0.62,Down,-4.53
2017,31-Jan,0.07,14.21,Up,14.14
2016,25-Oct,11.46,11.92,Down,0.46
2016,26-Jul,12.52,-8.29,Up,-20.81
2016,26-Apr,8.48,-1.4,Down,-9.88
2016,26-Jan,-2.44,-5.18,Down,-2.74
2015,27-Oct,1.83,7.78,Up,5.95
2015,21-Jul,4.42,23.04,Down,18.62
2015,27-Apr,3.93,24.51,Down,20.58
2015,27-Jan,0.02,2.61,Up,2.59
2014,20-Oct,3.54,26.57,Up,23.03
2014,22-Jul,9.02,21.87,Up,12.85
2014,23-Apr,2.97,-3.6,Up,-6.57
2014,27-Jan,-2.13,1.11,Down,3.24
2013,28-Oct,19.53,0.94,Down,-18.59
2013,23-Jul,14.96,-20.05,Up,-35.01
2013,23-Apr,6.32,-22.91,Down,-29.23
2013,23-Jan,1.38,-2.91,Down,-4.29
2012,25-Oct,8.88,44.45,Down,35.57
2012,24-Jul,3.4,42.48,Down,39.08
2012,24-Apr,5.57,32.8,Up,27.23
2012,24-Jan,1.57,-0.31,Up,-1.88
2011,18-Oct,-5.53,23.08,Down,28.61
2011,19-Jul,2.92,10,Up,7.08
2011,20-Apr,3.78,-0.05,Up,-3.83
2011,18-Jan,1.82,-3.79,Up,-5.61
2010,18-Oct,2.53,48.41,Down,45.88
2010,20-Jul,-7.34,13.45,Up,20.79
2010,20-Apr,4.45,14.15,Up,9.7
2010,25-Jan,-4.83,-5.39,Up,-0.56
2009,19-Oct,24.93,111.8,Up,86.87
2009,21-Jul,9.15,70.74,Up,61.59
2009,22-Apr,-3.36,37.05,Up,40.41
2009,21-Jan,-7.6,-10.56,Up,-2.96
