UpperStrike,LowerStrike,OpeningDebitUpper,ClosingDebitUpper,UpperResult,ExpiredWorthless,OpeningDebitLower,ClosingDebitLower,LowerResult,DayHit,Trend-6m,CombinedResult
227,221,0.07,0.79,0.72,No,0.07,0,-0.07,Friday,5,0.65
229,225,0.142,0,-0.142,No,0.09,0.11,0.02,Thursday,5,-0.122
229,225,0.15,0,-0.15,No,0.06,0.13,0.07,Thursday,5,-0.08
229,224,0.119,0.92,0.801,No,0.047,0,-0.047,Friday,5,0.754
231,227,0.125,0,-0.125,No,0.096,0.25,0.154,Thursday,5,0.029
232,227,0.058,0.48,0.422,No,0.065,0,-0.065,Friday,5,0.357
234,229,0.07,0.27,0.2,No,0.079,0,-0.079,Thursday,5,0.121
237,233,0.141,0.74,0.599,No,0.09,0,-0.09,Friday,5,0.509
239,234,0.124,0.435,0.311,No,0.062,0,-0.062,Friday,5,0.249
241,236,0.098,0,-0.098,No,0.09,0.2,0.11,Thursday,5,0.012
241,234,0.07,0,-0.07,Yes,0.06,0,-0.06,Wednesday,5,-0.13
240,234,0.1,0,-0.1,No,0.03,0.74,0.71,Friday,5,0.61
237,230,0.13,0.355,0.225,No,0.052,0,-0.052,Thursday,5,0.173
238,233,0.141,0,-0.141,No,0.059,0.072,0.013,Thursday,5,-0.128
238,233,0.12,0,-0.12,No,0.075,0.83,0.755,Thursday,5,0.635
236,229,0.09,0.31,0.22,No,0.04,0,-0.04,Thursday,5,0.18
239,230,0.13,0.442,0.312,,0.0667,0,-0.0667,Thursday,5,0.2453
240,236,0.169,0.882,0.713,,0.062,0,-0.062,Friday,5,0.651
243,236,0.067,0,-0.067,Yes,0.03,0,-0.03,Wednesday,5,-0.097
241,237,0.17,0,-0.17,,0.07,0.25,0.18,Thursday,5,0.01
241,235,0.141,0.258,0.117,,0.026,0,-0.026,Friday,5,0.091
244,240,0.12,0.799,0.679,,0.088,0,-0.088,Friday,5,0.591
246,242,0.157,0,-0.157,Yes,0.071,0,-0.071,Wednesday,5,-0.228
247,240,0.0407,0,-0.0407,Yes,0.06,0,-0.06,Tuesday,5,-0.1007
245,241,0.137,0,-0.137,Yes,0.1,0,-0.1,Tuesday,5,-0.237
245,241,0.1927,0,-0.1927,No,0.074,0.169,0.095,Friday,5,-0.0977
244,239,0.151,0,-0.151,,0.057,0.09,0.033,Thursday,5,-0.118
244,240,0.187,0.38,0.193,,0.066,0,-0.066,Thursday,5,0.127
248,244,0.0969,0.2661,0.1692,,0.125,0,-0.125,Thursday,5,0.0442
249,245,0.1327,0,-0.1327,Yes,0.07,0,-0.07,Wednesday,5,-0.2027
249,245,0.1609,0,-0.1609,Yes,0.05,0,-0.05,Tuesday,5,-0.2109
250,245,0.0747,0,-0.0747,,0.05,0.1428,0.0928,Friday,5,0.0181
248,240,0.1226,0,-0.1226,,0.03,0.0451,0.0151,Thursday,5,-0.1075
246,239,0.13,0,-0.13,Yes,0.04,0,-0.04,Tuesday,5,-0.17
247,242,0.16,0.36,0.2,No,0.08,0,-0.08,Thursday,5,0.12
250,246,0.0865,0,-0.0865,,0.084,0.3029,0.2189,Friday,5,0.1324
250,243,0.0817,0.2593,0.1776,,0.03,0,-0.03,Friday,5,0.1476
251,247,0.19,0,-0.19,Yes,0.06,0,-0.06,Wednesday,5,-0.25
252,247,0.09,0.3183,0.2283,,0.058,0,-0.058,Friday,5,0.1703
253,249,0.18,0,-0.18,Yes,0.13,0,-0.13,Wednesday,5,-0.31
256,252,0.17,0,-0.17,Yes,0.06,0,-0.06,Wednesday,5,-0.23
257,253,0.12,0.7292,0.6092,,0.06,0,-0.06,Friday,5,0.5492
259,255,0.1421,0,-0.1421,,0.09,0.17,0.08,Thursday,5,-0.0621
260,255,0.1113,0,-0.1113,Yes,0.05,0,-0.05,None,5,-0.1613
261,256,0.09,0,-0.09,Yes,0.03,0,-0.03,Tuesday,5,-0.12
261,255,0.1288,0,-0.1288,Yes,0.05,0,-0.05,Wednesday,5,-0.1788
260,256,0.1089,0.6858,0.5769,No,0.08,0,-0.08,Friday,5,0.4969
263,258,0.072,0.17,0.098,No,0.08,0,-0.08,Thursday,5,0.018
268,261,0.07,0,-0.07,Yes,0.05,0,-0.05,Tuesday,5,-0.12
268,263,0.109,0,-0.109,Yes,0.143,0,-0.143,Wednesday,5,-0.252
269,264,0.09,0.1394,0.0494,No,0.04,0,-0.04,Thursday,5,0.0094
270,265,0.09,0,-0.09,Yes,0.05,0,-0.05,None,5,-0.14
269,265,0.125,0,-0.125,Yes,0.085,0,-0.085,Tuesday,5,-0.21
276,271,0.105,0.4,0.295,No,0.08,0,-0.08,Thursday,5,0.215
281,275,0.08,0.29,0.21,No,0.065,0,-0.065,Friday,5,0.145
284,277,0.075,0.23,0.155,No,0.045,0,-0.045,Thursday,5,0.11
290,283,0.08,0,-0.08,No,0.05,0.14,0.09,Thursday,5,0.01
281,270,0.065,0,-0.065,No,0.025,0.69,0.665,Friday,5,0.6
271,252,0.055,0.22,0.165,No,0.025,0,-0.025,Friday,5,0.14
279,268,0.04,0,-0.04,Yes,0.025,0,-0.025,None,5,-0.065
279,270,0.06,0,-0.06,No,0.04,0.305,0.265,Friday,5,0.205
275,263,0.06,0.2,0.14,No,0.025,0,-0.025,Thursday,5,0.115
283,275,0.05,0,-0.05,No,0.105,0.445,0.34,Friday,5,0.29
279,270,0.05,0,-0.05,Yes,0.03,0,-0.03,Wednesday,5,-0.08
266,250,0.075,0,-0.075,Yes,0.025,0,-0.025,Monday,5,-0.1
270,257,0.04,0.045,0.005,No,0.02,0,-0.02,Thursday,5,-0.015
267,253,0.045,0.165,0.12,No,0.02,0,-0.02,Thursday,5,0.1
270,260,0.065,0.2,0.135,No,0.03,0,-0.03,Thursday,5,0.105
271,262,0.07,0,-0.07,Yes,0.03,0,-0.03,Wednesday,5,-0.1
271,262,0.075,0,-0.075,No,0.035,0.135,0.1,Thursday,4,0.025
270,262,0.08,0,-0.08,Yes,0.04,0,-0.04,Wednesday,4,-0.12
276,269,0.105,0,-0.105,Yes,0.055,0,-0.055,Wednesday,3,-0.16
275,268,0.085,0,-0.085,Yes,0.045,0,-0.045,Wednesday,2,-0.13
275,269,0.09,0,-0.09,Yes,0.05,0,-0.05,None,1,-0.14
277,270,0.095,0.185,0.09,No,0.045,0,-0.045,Thursday,1,0.045
282,274,0.07,0,-0.07,Yes,0.065,0,-0.065,Wednesday,1,-0.135
280,274,0.09,0,-0.09,No,0.045,0.075,0.03,Friday,1,-0.06
278,271,0.105,0,-0.105,No,0.025,0.575,0.55,Friday,1,0.445
276,267,0.085,0.48,0.395,No,0.03,0,-0.03,Friday,1,0.365
279,272,0.1,0.32,0.22,No,0.05,0,-0.05,Friday,3,0.17
283,277,0.075,0,-0.075,Yes,0.055,0,-0.055,Wednesday,5,-0.13
283,276,0.09,0.21,0.12,No,0.04,0,-0.04,Thursday,5,0.08
285,278,0.095,0,-0.095,Yes,0.05,0,-0.05,None,5,-0.145
286,281,0.125,0.295,0.17,No,0.07,0,-0.07,Thursday,5,0.1
287,279,0.115,0,-0.115,Yes,0.03,0,-0.03,None,5,-0.145
289,282,0.065,0,-0.065,Yes,0.04,0,-0.04,None,5,-0.105
291,284,0.07,0.655,0.585,No,0.03,0,-0.03,Friday,5,0.555
294,287,0.08,0,-0.08,No,0.05,0.305,0.255,Friday,5,0.175
292,283,0.08,0.225,0.145,No,0.035,0,-0.035,Thursday,5,0.11
