"","LotFrontage","Street","LandContour","LandSlope","Neighborhood","Condition1","Condition2","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","TotalBsmtSF","Heating","HeatingQC","CentralAir2","Electrical","1stFlrSF","2ndFlrSF","GrLivArea","BsmtHalfBath","FullBath","TotRmsAbvGrd","GarageYrBlt","GarageFinish","GarageCars","GarageArea","SaleCondition","SalePrice"
"1",65,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","2Story",7,5,2003,2003,"Gable","Gd","TA","PConc","Gd","TA",856,"GasA","Ex",1,"SBrkr",856,854,1710,0,2,8,2003,"RFn",2,548,"Normal",208500
"2",80,"Pave","Lvl","Gtl","Veenker","Feedr","Norm","1Story",6,8,1976,1976,"Gable","TA","TA","CBlock","Gd","TA",1262,"GasA","Ex",1,"SBrkr",1262,0,1262,1,2,6,1976,"RFn",2,460,"Normal",181500
"3",68,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","2Story",7,5,2001,2002,"Gable","Gd","TA","PConc","Gd","TA",920,"GasA","Ex",1,"SBrkr",920,866,1786,0,2,6,2001,"RFn",2,608,"Normal",223500
"4",60,"Pave","Lvl","Gtl","Crawfor","Norm","Norm","2Story",7,5,1915,1970,"Gable","TA","TA","BrkTil","TA","Gd",756,"GasA","Gd",1,"SBrkr",961,756,1717,0,1,7,1998,"Unf",3,642,"Abnorml",140000
"5",84,"Pave","Lvl","Gtl","NoRidge","Norm","Norm","2Story",8,5,2000,2000,"Gable","Gd","TA","PConc","Gd","TA",1145,"GasA","Ex",1,"SBrkr",1145,1053,2198,0,2,9,2000,"RFn",3,836,"Normal",250000
"6",85,"Pave","Lvl","Gtl","Mitchel","Norm","Norm","1.5Fin",5,5,1993,1995,"Gable","TA","TA","Wood","Gd","TA",796,"GasA","Ex",1,"SBrkr",796,566,1362,0,1,5,1993,"Unf",2,480,"Normal",143000
"7",75,"Pave","Lvl","Gtl","Somerst","Norm","Norm","1Story",8,5,2004,2005,"Gable","Gd","TA","PConc","Ex","TA",1686,"GasA","Ex",1,"SBrkr",1694,0,1694,0,2,7,2004,"RFn",2,636,"Normal",307000
"8",NA,"Pave","Lvl","Gtl","NWAmes","PosN","Norm","2Story",7,6,1973,1973,"Gable","TA","TA","CBlock","Gd","TA",1107,"GasA","Ex",1,"SBrkr",1107,983,2090,0,2,7,1973,"RFn",2,484,"Normal",2e+05
"9",51,"Pave","Lvl","Gtl","OldTown","Artery","Norm","1.5Fin",7,5,1931,1950,"Gable","TA","TA","BrkTil","TA","TA",952,"GasA","Gd",1,"FuseF",1022,752,1774,0,2,8,1931,"Unf",2,468,"Abnorml",129900
"10",50,"Pave","Lvl","Gtl","BrkSide","Artery","Artery","1.5Unf",5,6,1939,1950,"Gable","TA","TA","BrkTil","TA","TA",991,"GasA","Ex",1,"SBrkr",1077,0,1077,0,1,5,1939,"RFn",1,205,"Normal",118000
