song_name,date,year,bpm,energy,dance,loud,valence,song_length_minute,song_length_second,,acoustic,pop,rnd,
Blitzkrieg Bop - 2106 Remastered Version,4/26/76,1976,177,78,39,-3,90,2,14,2:14,0,37,5152,
Beat On The Brat - 2016 Remastered,4/26/76,1976,157,88,48,-1,96,2,32,2:32,0,36,1272,
Judy Is A Punk,3/14/05,1976,180,87,23,-1,72,1,32,1:32,8,36,6791,
I Wanna Be Your Boyfriend,4/26/76,1976,134,84,50,-3,68,2,24,2:24,0,35,2830,
Chain Saw,4/26/76,1976,183,94,29,-2,71,1,56,1:56,1,33,3137,
Now I Wanna Sniff Some Glue,4/26/76,1976,177,68,22,-3,71,1,36,1:36,0,34,5390,
I Don't Wanna Go Down To The Basement,4/26/76,1976,179,81,23,-4,82,2,41,2:41,0,33,5447,
Loudmouth,4/26/76,1976,178,90,18,-4,76,2,15,2:15,0,32,5785,
Havana Affair,4/26/76,1976,177,90,28,-2,71,1,57,1:57,0,33,6269,
Listen To My Heart,4/26/76,1976,179,90,30,-2,83,1,59,1:59,0,32,3978,
53rd & 3rd,4/26/76,1976,135,88,40,-1,86,2,21,2:21,0,32,9098,
Let's Dance,4/26/76,1976,183,72,32,-3,84,1,52,1:52,0,32,4330,
I Don't Wanna Walk Around With You,4/26/76,1976,179,93,31,-1,70,1,43,1:43,1,30,9218,
"Today Your Love, Tomorrow The World",4/26/76,1976,180,92,12,-3,35,2,13,2:13,0,32,5664,
Glad To See You Go - Remastered,1/10/77,1977,190,93,40,-4,91,2,14,2:14,0,26,2807,
Gimme Gimme Shock Treatment - Remastered,1/10/77,1977,189,97,37,-3,81,1,45,1:45,0,27,1794,
I Remember You - Remastered,1/10/77,1977,144,81,59,-6,81,2,21,2:21,5,26,2973,
Oh Oh I Love Her So - Remastered,1/10/77,1977,181,87,48,-3,89,2,9,2:09,4,27,1599,
Carbona Not Glue - Remastered,1/10/77,1977,90,88,54,-4,70,1,55,1:55,0,25,412,
Suzy Is A Headbanger - Remastered,1/10/77,1977,186,85,44,-5,82,2,14,2:14,0,26,9445,
Pinhead - Remastered,1/10/77,1977,89,84,61,-5,98,2,44,2:44,0,27,2113,
Now I Wanna Be A Good Boy - Remastered,1/10/77,1977,89,76,61,-4,96,2,17,2:17,0,24,5939,
Swallow My Pride - Remastered,1/10/77,1977,163,82,41,-4,69,2,10,2:10,0,25,5595,
What's Your Game - Remastered,1/10/77,1977,138,78,58,-4,65,2,42,2:42,1,23,1376,
California Sun - Remastered,1/10/77,1977,189,86,43,-3,55,2,8,2:08,0,29,7401,
Commando - Remastered,1/10/77,1977,187,88,45,-5,86,1,54,1:54,0,28,7446,
You're Gonna Kill That Girl - Remastered,1/10/77,1977,185,87,43,-4,58,2,44,2:44,2,27,8479,
You Should Have Never Opened That Door - Remastered,1/10/77,1977,184,94,45,-5,29,1,58,1:58,0,23,5211,
Cretin Hop - Remastered,11/4/77,1977,185,95,38,-2,87,1,56,1:56,0,29,9787,
Rockaway Beach - Remastered,11/4/77,1977,187,92,43,-2,90,2,6,2:06,0,31,3000,
"Here Today, Gone Tomorrow - Remastered",11/4/77,1977,119,87,50,-2,26,2,50,2:50,7,28,4252,
Locket Love - Remastered,11/4/77,1977,183,87,41,-3,97,2,11,2:11,0,26,4312,
I Don't Care - Remastered,11/4/77,1977,136,87,51,-3,82,1,39,1:39,3,27,6348,
Sheena Is A Punk Rocker - Remastered,11/4/77,1977,176,97,42,-2,85,2,50,2:50,10,30,4648,
We're A Happy Family - Remastered,11/4/77,1977,185,97,38,-3,96,2,40,2:40,0,27,1846,
Teenage Lobotomy - Remastered,11/4/77,1977,185,85,49,-2,97,2,1,2:01,0,28,8286,
