song_title,artist,release_date,bpm,energy,dance,loud,valence,length,acoustic,pop,rnd
Blitzkrieg Bop - 2016 Remastered Version,Ramones,4/26/76,177,78,39,-3,90,2:14,0,38,723
Beat On The Brat - 2016 Remastered,Ramones,4/26/76,157,88,48,-1,96,2:32,0,37,7488
Judy Is A Punk,Ramones,4/26/76,180,87,23,-1,72,1:32,8,37,4408
I Wanna Be Your Boyfriend,Ramones,4/26/76,134,84,50,-3,68,2:24,0,36,4445
Chain Saw,Ramones,4/26/76,183,94,29,-2,71,1:56,1,34,5737
Now I Wanna Sniff Some Glue,Ramones,4/26/76,177,68,22,-3,71,1:36,0,34,8800
I Don't Wanna Go Down To The Basement,Ramones,4/26/76,179,81,23,-4,82,2:41,0,34,6366
Loudmouth,Ramones,4/26/76,178,90,18,-4,76,2:15,0,33,199
Havana Affair,Ramones,4/26/76,177,90,28,-2,71,1:57,0,34,3114
Listen To My Heart,Ramones,4/26/76,179,90,30,-2,83,1:59,0,33,2900
53rd & 3rd,Ramones,4/26/76,135,88,40,-1,86,2:21,0,33,8647
Let's Dance,Ramones,4/26/76,183,72,32,-3,84,1:52,0,32,906
I Don't Wanna Walk Around With You,Ramones,4/26/76,179,93,31,-1,70,1:43,1,31,7275
"Today Your Love, Tomorrow The World",Ramones,4/26/76,180,92,12,-3,35,2:13,0,33,8124
Glad To See You Go - Remastered,Ramones,1/10/77,190,93,40,-4,91,2:14,0,27,5731
Gimme Gimme Shock Treatment - Remastered,Ramones,1/10/77,189,97,37,-3,81,1:45,0,28,8499
I Remember You - Remastered,Ramones,1/10/77,144,81,59,-6,81,2:21,5,27,5514
Oh Oh I Love Her So - Remastered,Ramones,1/10/77,181,87,48,-3,89,2:09,4,28,4907
Carbona Not Glue - Remastered,Ramones,1/10/77,90,88,54,-4,70,1:55,0,26,1444
Suzy Is A Headbanger - Remastered,Ramones,1/10/77,186,85,44,-5,82,2:14,0,27,4962
Pinhead - Remastered,Ramones,1/10/77,89,84,61,-5,98,2:44,0,28,7550
Now I Wanna Be A Good Boy - Remastered,Ramones,1/10/77,89,76,61,-4,96,2:17,0,25,2022
Swallow My Pride - Remastered,Ramones,1/10/77,163,82,41,-4,69,2:10,0,26,6971
What's Your Game - Remastered,Ramones,1/10/77,138,78,58,-4,65,2:42,1,24,1791
California Sun - Remastered,Ramones,1/10/77,189,86,43,-3,55,2:08,0,29,424
Commando - Remastered,Ramones,1/10/77,187,88,45,-5,86,1:54,0,28,7508
You're Gonna Kill That Girl - Remastered,Ramones,1/10/77,185,87,43,-4,58,2:44,2,27,7865
You Should Have Never Opened That Door - Remastered,Ramones,1/10/77,184,94,45,-5,29,1:58,0,23,6427
Cretin Hop - Remastered,Ramones,11/4/77,185,95,38,-2,87,1:56,0,30,3055
Rockaway Beach - Remastered,Ramones,11/4/77,187,92,43,-2,90,2:06,0,32,9100
"Here Today, Gone Tomorrow - Remastered",Ramones,11/4/77,119,87,50,-2,26,2:50,7,28,7127
Locket Love - Remastered,Ramones,11/4/77,183,87,41,-3,97,2:11,0,27,3759
I Don't Care - Remastered,Ramones,11/4/77,136,87,51,-3,82,1:39,3,28,7761
Sheena Is A Punk Rocker - Remastered,Ramones,11/4/77,176,97,42,-2,85,2:50,10,31,2235
We're A Happy Family - Remastered,Ramones,11/4/77,185,97,38,-3,96,2:40,0,27,7204
Teenage Lobotomy - Remastered,Ramones,11/4/77,185,85,49,-2,97,2:01,0,29,9036
Do You Wanna Dance? - Remastered,Ramones,11/4/77,182,89,37,-2,92,1:56,0,29,6592
I Wanna Be Well - Remastered,Ramones,11/4/77,131,94,61,-1,94,2:28,1,26,2575
I Can't Give You Anything - Remastered,Ramones,11/4/77,185,95,42,-4,95,2:01,0,25,5591
Ramona - Remastered,Ramones,11/4/77,142,91,51,-2,83,2:38,2,27,7637
Surfin' Bird - Remastered,Ramones,11/4/77,194,98,44,-2,87,2:38,9,29,7563
Why Is It Always This Way? - Remastered,Ramones,11/4/77,187,88,43,-4,93,2:20,0,24,1226
I Just Want To Have Something To Do - Remastered,Ramones,1978,137,93,48,-2,41,2:42,1,28,2962
I Wanted Everything - Remastered,Ramones,1978,183,97,36,-3,92,3:20,1,20,5668
Don't Come Close - Remastered,Ramones,1978,157,90,60,-3,95,2:45,15,21,2985
I Don't Want You - Remastered,Ramones,1978,142,96,51,-3,64,2:27,2,18,9822
Needles And Pins - Remastered,Ramones,1978,119,94,73,-3,96,2:22,1,29,9601
I'm Against It - Remastered,Ramones,1978,200,98,33,-2,97,2:09,0,41,3206
I Wanna Be Sedated - Remastered,Ramones,1978,163,97,56,-2,96,2:30,12,58,6
Go Mental - Remastered,Ramones,1978,190,96,31,-3,87,2:43,0,19,4824
Questioningly - Remastered,Ramones,1978,122,84,62,-3,74,3:23,2,19,994
She's The One - Remastered,Ramones,1978,188,97,35,-2,92,2:14,1,25,3076
Bad Brain - Remastered,Ramones,1978,103,91,57,-2,96,2:25,0,18,5499
It's A Long Way Back - Remastered,Ramones,1978,136,95,50,-2,79,2:22,0,16,3947
Do You Remember Rock And Roll Radio,Ramones,2/4/80,152,96,30,-6,66,3:49,45,47,2433
I'm Affected - Remastered,Ramones,2/4/80,143,88,44,-6,68,2:53,16,28,7052
Danny Says - Remastered,Ramones,2/4/80,120,63,59,-9,58,3:05,61,33,4620
Chinese Rock - Remastered,Ramones,2/4/80,156,98,31,-4,37,2:28,4,41,7706
The Return Of Jackie And Judy - Remastered Version,Ramones,2/4/80,160,99,36,-6,50,3:12,2,27,9735
Let's Go - Remastered,Ramones,2/4/80,184,94,29,-7,63,2:37,0,28,4296
"Baby, I Love You",Ramones,2/4/80,108,65,74,-6,93,3:45,20,58,6070
I Can't Make It On Time - Remastered,Ramones,2/4/80,153,95,46,-7,74,2:33,1,28,3173
This Ain't Havana - Remastered,Ramones,2/4/80,199,98,34,-6,79,2:19,1,26,206
Rock 'N' Roll High School - Remastered,Ramones,2/4/80,189,87,50,-4,89,2:17,2,53,6349
All The Way - Remastered,Ramones,2/4/80,199,98,20,-3,28,2:29,1,25,9736
High Risk Insurance - Remastered,Ramones,2/4/80,197,99,26,-4,28,2:09,2,23,8559
We Want The Airwaves - Remastered,Ramones,7/20/81,143,98,44,-4,51,3:22,2,20,2003
All's Quiet On The Eastern Front - Remastered,Ramones,7/20/81,190,96,49,-5,86,2:13,15,14,2864
The KKK Took My Baby Away - Remastered,Ramones,7/20/81,152,93,54,-4,52,2:31,52,24,1120
Don't Go - Remastered,Ramones,7/20/81,144,93,55,-5,74,2:46,36,17,8138
You Sound Like Your Sick - Remastered,Ramones,7/20/81,207,93,33,-5,76,2:41,1,15,8680
It's Not My Place (In The 9 To 5 World) - Remastered,Ramones,7/20/81,108,90,51,-6,63,3:23,27,15,4918
She's A Sensation - Remastered,Ramones,7/20/81,154,88,46,-5,72,3:26,5,18,4184
7-11 - Remastered,Ramones,7/20/81,132,81,57,-7,61,3:34,15,16,1739
You Didn't Mean Anything To Me - Remastered Version,Ramones,7/20/81,98,93,44,-6,37,3:00,3,13,5787
Come On Now - Remastered,Ramones,7/20/81,173,93,31,-4,77,2:32,13,12,3754
This Business Is Killing Me - Remastered,Ramones,7/20/81,153,93,50,-5,81,2:40,33,12,3646
Sitting In My Room - Remastered,Ramones,7/20/81,89,91,47,-6,74,2:32,3,12,4929
Little Bit O' Soul - Remastered,Ramones,1983,144,74,54,-9,70,2:43,0,19,9551
I Need Your Love - Remastered,Ramones,1983,153,79,47,-8,59,3:08,2,13,1937
Outsider - Remastered,Ramones,1983,198,93,22,-7,48,2:10,0,16,9003
What'd Ya Do? - Remastered,Ramones,1983,148,96,40,-7,36,2:24,0,11,5535
Highest Trails Above - Remastered,Ramones,1983,97,93,45,-7,71,2:09,0,10,1257
Somebody Like Me - Remastered,Ramones,1983,150,92,43,-8,67,2:32,0,12,8965
Psycho Therapy - Remastered,Ramones,1983,95,96,47,-7,35,2:35,0,18,7002
Time Has Come Today - Remastered,Ramones,1983,122,75,58,-9,24,4:25,0,15,2119
My My Kind Of Girl - Remastered,Ramones,1983,119,75,53,-9,60,3:32,0,12,1434
In The Park - Remastered,Ramones,1983,195,92,31,-8,69,2:37,0,11,5946
Time Bomb - Remastered,Ramones,1983,173,91,34,-7,85,2:10,3,12,6336
Everytime I Eat Vegetables It Makes Me Think Of You - Remastered,Ramones,1983,77,89,44,-8,56,3:07,1,13,742
Mama's Boy - Remastered,Ramones,10/1/84,148,96,46,-9,60,2:10,0,15,7194
I'm Not Afraid Of Life - Remastered,Ramones,10/1/84,125,84,53,-8,54,3:13,0,13,4673
Too Tough To Die - Remastered,Ramones,10/1/84,160,95,47,-8,61,2:38,0,31,6329
Durango 95 - Remastered,Ramones,10/1/84,195,94,24,-9,96,0:55,0,13,1236
Wart Hog - Remastered,Ramones,10/1/84,104,97,50,-5,89,1:55,0,18,1195
Danger Zone - Remastered,Ramones,10/1/84,106,91,59,-8,44,2:08,0,13,4144
Chasing The Night - Remastered,Ramones,10/1/84,114,90,58,-7,92,4:28,0,15,4964
Howling At The Moon (Sha-La-La),Ramones,10/1/84,174,96,54,-6,53,4:07,3,20,5062
Daytime Dilemma - Dangers Of Love (Remastered),Ramones,10/1/84,163,92,24,-8,67,4:32,0,14,4162
Planet Earth 1988 - Remastered,Ramones,10/1/84,125,84,60,-8,50,2:55,0,12,3688
Human Kind - Remastered,Ramones,10/1/84,103,91,61,-8,56,2:43,0,10,5654
Endless Vacation - Remastered,Ramones,10/1/84,166,96,27,-7,34,1:48,0,13,2896
No Go - Remastered,Ramones,10/1/84,109,90,55,-8,82,3:03,0,11,7175
Somebody Put Something In My Drink,Ramones,1986,161,93,49,-10,40,3:20,10,23,1282
Animal Boy,Ramones,1986,160,95,37,-11,52,1:52,1,17,8733
Love Kills,Ramones,1986,97,80,58,-13,70,2:21,0,17,1432
Apeman Hop,Ramones,1986,93,74,48,-14,52,2:04,0,13,7608
She Belongs To Me,Ramones,1986,106,53,63,-13,39,3:55,11,15,3192
Crummy Stuff,Ramones,1986,160,89,49,-12,56,2:06,33,14,2814
Bonzo Goes To Bitburg,Ramones,1986,175,85,41,-12,50,3:53,30,44,9932
Mental Hell,Ramones,1986,122,86,47,-13,46,2:40,1,18,1191
Eat That Rat,Ramones,1986,166,95,40,-13,25,1:39,1,14,3559
Freak Of Nature,Ramones,1986,181,86,42,-13,47,1:34,1,14,9588
Hair Of The Dog,Ramones,1986,158,72,39,-13,81,2:21,6,14,8485
Something To Believe In,Ramones,1986,178,85,38,-13,47,4:07,4,21,9314
I Wanna Live,Ramones,1987,157,83,42,-10,69,2:38,33,28,65
Bop 'Til You Drop,Ramones,1987,171,90,41,-11,56,2:12,0,19,7797
Garden Of Serenity,Ramones,1987,152,55,46,-12,58,2:27,1,18,1065
Weasal Face,Ramones,1987,100,95,50,-10,40,1:51,1,13,1841
Go Lil Camaro Go,Ramones,1987,174,71,44,-11,73,2:03,1,14,5323
I Know Better Now,Ramones,1987,97,90,47,-11,55,2:39,0,13,97
Death Of Me,Ramones,1987,134,89,63,-12,57,2:40,1,14,7354
I Lost My Mind,Ramones,1987,195,88,32,-10,83,1:34,0,13,535
A Real Cool Time,Ramones,1987,150,78,53,-11,88,2:39,6,16,9250
I'm Not Jesus,Ramones,1987,184,95,26,-12,19,2:56,0,12,1453
Bye Bye Baby,Ramones,1987,119,46,57,-14,54,4:35,6,14,7264
Worm Man,Ramones,1987,139,88,33,-11,26,1:53,0,10,5706
I Believe In Miracles,Ramones,1989,140,80,45,-12,73,3:19,0,30,5867
Zero Zero UFO,Ramones,1989,119,79,48,-13,66,2:25,0,19,7425
Don't Bust My Chops,Ramones,1989,151,71,50,-12,85,2:28,0,18,105
Punishment Fits The Crime,Ramones,1989,124,70,55,-13,77,3:05,4,18,3937
All Screwed Up,Ramones,1989,152,80,51,-13,79,4:00,2,17,8868
Palisades Park,Ramones,1989,105,83,38,-12,53,2:22,0,24,3606
Pet Sematary,Ramones,1989,148,83,47,-13,66,3:30,0,46,9877
Learn To Listen,Ramones,1989,89,77,41,-12,65,1:51,0,17,4197
Can't Get You Outta My Mind,Ramones,1989,140,78,44,-14,59,3:22,0,19,1347
Ignorance Is Bliss,Ramones,1989,162,93,27,-12,34,2:38,0,19,2535
"Come Back, Baby",Ramones,1989,145,73,47,-14,90,4:02,0,17,9843
Merry Christmas (I Don't Wanna Fight Tonight) - Single Version,Ramones,1989,152,94,48,-6,82,2:04,4,35,4330
Censorshit,Ramones,1/1/92,162,99,42,-5,35,3:12,0,19,258
The Job That Ate My Brain,Ramones,1/1/92,99,99,56,-5,38,2:18,1,17,7002
Poison Heart,Ramones,1/1/92,149,96,55,-6,70,4:04,0,31,9924
Anxiety,Ramones,1/1/92,124,97,60,-5,74,2:04,0,17,646
Strength To Endure,Ramones,1/1/92,151,93,52,-6,92,2:59,0,24,3405
It's Gonna Be Alright,Ramones,1/1/92,165,97,41,-6,67,3:20,0,17,1433
Take It As It Comes,Ramones,1/1/92,169,95,32,-6,60,2:08,0,16,1352
Main Man,Ramones,1/1/92,159,99,38,-5,72,3:28,0,15,6999
Tomorrow She Goes Away,Ramones,1/1/92,194,99,36,-5,35,2:42,0,18,6370
I Won't Let It Happen,Ramones,1/1/92,121,92,65,-6,65,2:21,0,14,5186
Cabbies On Crack,Ramones,1/1/92,148,98,47,-5,56,3:00,0,14,9118
Heidi Is A Headcase,Ramones,1/1/92,164,99,39,-5,11,2:47,0,16,2149
Touring,Ramones,1/1/92,185,96,45,-5,80,2:52,16,14,6081
I Don't Want To Grow Up,Ramones,1/1/95,91,92,53,-5,55,2:45,0,35,7223
Makin Monsters For My Friends,Ramones,1/1/95,163,85,48,-6,75,2:36,0,23,5548
It's Not For Me To Know,Ramones,1/1/95,144,96,51,-5,66,2:52,0,20,129
The Crusher,Ramones,1/1/95,107,88,68,-5,88,2:27,0,25,3540
Life's A Gas,Ramones,1/1/95,140,95,44,-6,67,3:34,0,24,3147
Take The Pain Away,Ramones,1/1/95,172,94,37,-5,59,2:43,0,17,299
I Love You,Ramones,1/1/95,135,95,32,-7,52,2:21,0,17,9074
Cretin Family,Ramones,1/1/95,101,91,69,-4,74,2:10,0,19,4055
Have A Nice Day,Ramones,1/1/95,128,85,57,-5,94,1:39,0,16,3724
Scattergun,Ramones,1/1/95,155,90,46,-6,79,2:31,0,17,5199
Got Alot To Say,Ramones,1/1/95,96,98,49,-5,41,1:42,0,15,6616
She Talks To Rainbows,Ramones,1/1/95,127,84,58,-6,22,3:15,0,23,3149
Born To Die In Berlin,Ramones,1/1/95,132,97,53,-5,57,3:32,0,17,2130
Come Together - Remastered 2009,The Beatles,9/26/69,165,38,53,-12,19,4:20,3,78,3681
Something - Remastered 2009,The Beatles,9/26/69,134,34,40,-11,38,3:02,20,69,2845
Maxwell's Silver Hammer - Remastered 2009,The Beatles,9/26/69,131,43,76,-11,73,3:28,63,58,687
Oh! Darling - Remastered 2009,The Beatles,9/26/69,174,66,42,-8,55,3:27,1,65,2688
