acousticness,danceability,duration,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,tempo_confidence,time_signature,valence,name,artist,Like
0.023,0.546,285.65333,285653,0.814,0,0,7,0.0972,-5.146,1,74,9/21/04,0.0314,104.98,0.401,4,0.146,Wake Me up When September Ends,Green Day,N
0.000188,0.573,191.6,191600,0.861,1,0,3,0.127,-5.055,0,42,10/25/04,0.0415,132.509,0.948,4,0.617,Me Against The World,Simple Plan,N
0.00016,0.271,242.06512,242065,0.959,2,0.0233,2,0.286,-4.249,1,29,12/21/09,0.0686,177.037,0.645,4,0.503,When We Were Angels,Marky Ramones Blitzkrieg,Y
0.0145,0.642,120.4,120400,0.774,3,3.88E-05,2,0.117,-6.62,1,23,5/5/81,0.0764,132.935,0.841,4,0.655,We're Desperate,X,Y
0.000263,0.611,163.93333,163933,0.837,4,0.00111,9,0.526,-4.739,1,31,1/10/77,0.0294,88.818,0.062,4,0.983,Pinhead - 2017 Remaster,Ramones,Y
1.20E-05,0.559,264.37333,264373,0.868,5,0.00394,11,0.0418,-4.738,0,56,1/9/10,0.0475,140.021,0.885,4,0.684,Say You'll Haunt Me,Stone Sour,N
0.668,0.438,392.49333,392493,0.361,6,0.00045,9,0.0793,-10.333,1,45,4/18/95,0.0437,113.969,0.201,4,0.229,Spacegrass,Clutch,Y
0.0295,0.499,188.6,188600,0.9,7,1.60E-05,2,0.281,-3.46,1,33,2002,0.0965,165.804,0.638,4,0.662,One Beat,Sleater-Kinney,Y
0.327,0.567,285.34517,285345,0.459,8,0.000254,1,0.202,-9.488,1,60,6/7/05,0.0289,116.92,0.842,4,0.151,A Message,Coldplay,N
0.0017,0.541,169.34667,169347,0.599,9,0,8,0.164,-5.626,1,38,2005,0.0362,157.606,0.595,4,0.599,Runaway,Cartel,N
0.0519,0.285,171.13333,171133,0.618,10,0.148,11,0.0548,-10.811,0,29,8/5/69,0.0322,149.73,0.722,4,0.656,Not Right,The Stooges,Y
0.955,0.24,167.29333,167293,0.23,11,0.0458,2,0.12,-10.304,1,13,4/13/10,0.027,98.601,0.32,4,0.0465,Holy Ghost,Laura Stevenson,Y
0.171,0.593,269.30667,269307,0.629,12,0,10,0.138,-7.482,1,42,4/17/12,0.0248,85.971,0.153,4,0.492,So Far Gone,Thousand Foot Krutch,N
0.0004,0.453,193.65333,193653,0.942,13,2.65E-06,10,0.667,-4.256,1,67,1/1/05,0.0466,143.85,0.809,4,0.457,Dirty Little Secret,The All-American Rejects,N
3.85E-05,0.285,228.08118,228081,0.869,14,0.388,8,0.0573,-5.542,1,26,3/31/17,0.0732,126.906,0.091,4,0.451,Fuckin' up Young,The Dirty Nil,Y
0.000806,0.57,191.72,191720,0.901,15,0,7,0.368,-5.028,1,38,9/17/07,0.0427,110.02,0.774,4,0.633,Forever,55 Escape,N
7.57E-05,0.341,288.54857,288549,0.694,16,0.482,7,0.0808,-8.38,1,10,2010,0.0716,90.318,0.137,4,0.336,Evil New War God,Melvins,Y
5.86E-05,0.391,200.54667,200547,0.963,17,0.0689,10,0.14,-4.378,0,66,1/1/06,0.0773,167.065,0.274,4,0.364,The Diary of Jane - Single Version,Breaking Benjamin,N
1.92E-05,0.404,313.0454,313045,0.948,18,0.0405,6,0.0773,-7.252,0,49,9/7/88,0.0604,96.789,0.276,4,0.701,Dyers Eve (Remastered),Metallica,Y
0.000146,0.378,291.73333,291733,0.855,19,0.822,10,0.137,-8.807,1,44,1995,0.0753,123.064,0.273,4,0.214,An Ode To No One - Remastered 2012,The Smashing Pumpkins,Y
0.00671,0.605,187.14667,187147,0.822,20,0.134,0,0.147,-4.833,1,85,6/23/17,0.0438,167.997,0.446,4,0.288,Thunder,Imagine Dragons,N
0.000923,0.331,181.70667,181707,0.959,21,4.60E-06,6,0.292,-4.979,1,46,9/24/96,0.0703,133.69,0.421,4,0.318,Tired Of Sex,Weezer,Y
0.00378,0.609,246.30667,246307,0.674,22,0.000302,9,0.129,-6.506,0,61,5/9/14,0.0355,127.541,0.813,4,0.743,Fever,The Black Keys,N
0.232,0.545,247.73333,247733,0.636,23,0.074,0,0.178,-7.917,1,46,1/1/09,0.0304,88.041,0.371,4,0.414,Blue Skies,Noah And The Whale,N
0.00961,0.582,231.70667,231707,0.529,24,0.000554,11,0.113,-7.637,1,59,1/1/09,0.0248,166.134,0.239,4,0.567,Vanilla Twilight,Owl City,N
0.0481,0.351,255.82667,255827,0.465,25,0.0188,2,0.0912,-10.313,1,56,10/2/09,0.0365,123.75,0.098,4,0.224,Awake My Soul,Mumford & Sons,N
0.776,0.508,151.82667,151827,0.513,26,0.0303,9,0.11,-13.947,1,51,1973,0.0287,133.791,0.777,4,0.702,I'll Have To Say I Love You In A Song,Jim Croce,N
0.00224,0.385,237.70667,237707,0.707,27,0.377,7,0.0755,-11.839,1,54,1988,0.0412,115.144,0.674,4,0.774,Gigantic,Pixies,Y
0.0578,0.673,263.84,263840,0.569,28,0.000374,5,0.0927,-11.363,1,12,1996,0.0727,136.315,0.808,4,0.819,Treat Me Good,The Slackers,Y
0.283,0.447,189.48,189480,0.186,29,0,0,0.158,-17.369,1,52,1976,0.0322,150.799,0.275,4,0.564,Something in the Way She Moves,James Taylor,N
0.224,0.161,102.26667,102267,0.836,30,0.0802,2,0.0926,-9.324,1,55,1/1/97,0.0519,193.782,0.458,4,0.487,Hybrid Moments,Misfits,Y
0.1,0.707,199.48,199480,0.861,31,0,7,0.191,-4.225,1,59,1/1/11,0.316,130.021,0.743,4,0.795,Sexy And I Know It,LMFAO,N
0.136,0.693,193.16,193160,0.509,32,0.765,8,0.257,-12.872,1,21,1985,0.0722,73.769,0.207,4,0.741,Rude Boys don't Fear,Derrick Morgan,Y
